ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
TMDX,2022-02-28,2022-03-17,18.479999542236328,19.59000015258789,118,130.98,127.56,3.42,6.01,trailing_stop,17,True
STLD,2022-02-28,2022-03-17,67.49403740126556,71.43118939169507,48,188.98,184.39,4.59,5.83,trailing_stop,17,True
DKNG,2022-03-31,2022-04-21,19.56999969482422,14.67,187,-916.3,-920.17,3.87,-25.04,hard_stop,21,False
TMDX,2022-03-31,2022-04-22,27.100000381469727,21.52,189,-1054.62,-1059.88,5.26,-20.59,hard_stop,22,False
CDRE,2022-05-31,2022-06-07,23.75022919564711,26.547178228758728,118,330.04,325.76,4.28,11.78,trailing_stop,7,True
AFRM,2022-05-31,2022-08-04,28.739999771118164,32.05500030517578,41,135.92,133.55,2.37,11.53,trailing_stop,65,True
TMDX,2022-10-31,2022-11-04,49.119998931884766,55.904039085388185,87,590.21,584.11,6.1,13.81,trailing_stop,4,True
DKNG,2022-10-31,2022-11-04,16.329999923706055,11.43,181,-886.9,-890.06,3.16,-30.01,hard_stop,4,False
AFRM,2023-01-31,2023-02-02,15.970000267028809,18.774999618530273,172,482.46,478.08,4.38,17.56,trailing_stop,2,True
TMDX,2022-11-30,2023-02-23,62.45000076293945,74.9000015258789,104,1294.8,1285.63,9.17,19.94,trailing_stop,85,True
TMDX,2023-02-28,2023-04-14,79.51000213623047,67.58,81,-966.33,-973.07,6.74,-15.0,hard_stop,45,False
AFRM,2023-03-31,2023-05-15,11.199999809265137,12.130000114440918,359,333.87,328.31,5.56,8.3,trailing_stop,45,True
AFRM,2023-05-31,2023-06-07,14.725000381469727,17.67,247,727.41,721.84,5.57,20.0,take_profit_TP1_partial,7,True
AFRM,2023-07-31,2023-08-11,19.049999237060547,14.720000267028809,215,-930.95,-935.26,4.31,-22.73,hard_stop,11,False
TMDX,2023-11-30,2024-01-09,74.3499984741211,78.51000213623047,97,403.52,394.53,8.99,5.6,trailing_stop,40,True
TMDX,2024-01-31,2024-02-26,85.44999694824219,72.63,76,-974.32,-981.11,6.79,-15.0,hard_stop,26,False
TMDX,2024-11-29,2024-12-03,87.0199966430664,73.23,76,-1048.04,-1054.87,6.83,-15.85,hard_stop,4,False
