ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
STLD,2022-01-03,2022-01-21,58.4010999078365,49.64,96,-841.07,-847.06,5.99,-15.0,hard_stop,18,False
TMDX,2022-02-08,2022-02-23,15.699999809265137,13.09,389,-1015.29,-1021.63,6.34,-16.62,hard_stop,15,False
TMDX,2022-08-22,2022-09-16,47.02000045776367,48.837,71,129.01,124.38,4.63,3.86,trailing_stop,25,True
TMDX,2022-10-18,2022-10-26,41.779998779296875,50.14,78,652.08,646.98,5.1,20.01,take_profit_TP1_partial,8,True
TMDX,2022-10-26,2022-11-04,47.45000076293945,56.94,72,683.28,677.99,5.29,20.0,take_profit_TP1_partial,9,True
TMDX,2022-11-04,2023-01-03,56.689998626708984,57.11000061035156,63,26.46,21.69,4.77,0.74,time_stop,60,True
TMDX,2023-01-11,2023-01-30,58.38999938964844,63.199049720764165,118,567.47,558.65,8.82,8.24,trailing_stop,19,True
TMDX,2023-01-30,2023-02-23,62.02000045776367,70.56460276794434,107,914.27,905.35,8.92,13.78,trailing_stop,24,True
TMDX,2023-02-23,2023-04-24,77.30999755859375,86.0199966430664,97,844.87,835.12,9.75,11.27,time_stop,60,True
TMDX,2023-04-25,2023-05-08,83.27999877929688,70.0,80,-1062.4,-1069.27,6.87,-15.95,hard_stop,13,False
TMDX,2023-11-07,2023-11-29,60.81999969482422,72.98,107,1301.12,1291.93,9.19,19.99,take_profit_TP1_partial,22,True
TMDX,2023-11-29,2024-01-09,73.5,78.51000213623047,103,516.03,506.55,9.48,6.82,trailing_stop,41,True
TMDX,2024-01-09,2024-02-26,85.69999694824219,72.84,78,-1003.08,-1010.04,6.96,-15.01,hard_stop,48,False
TMDX,2024-11-27,2024-12-03,87.47000122070312,73.42,77,-1081.85,-1088.78,6.93,-16.06,hard_stop,6,False
