ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
STLD,2022-01-03,2022-01-21,58.4010999078365,49.64,96,-841.07,-847.06,5.99,-15.0,hard_stop,18,False
SMCI,2022-01-03,2022-01-28,4.669000148773193,3.83,911,-764.33,-774.6,10.27,-17.97,hard_stop,25,False
TMDX,2022-02-08,2022-02-23,15.699999809265137,13.09,386,-1007.46,-1013.76,6.3,-16.62,hard_stop,15,False
CF,2022-01-03,2022-02-25,65.14970520269763,69.96131103515624,89,428.23,420.7,7.53,7.39,trailing_stop,53,True
VST,2022-01-03,2022-03-04,21.112383235569567,20.871307373046875,256,-61.72,-68.32,6.6,-1.14,time_stop,60,False
VST,2022-03-07,2022-04-20,20.86203780794523,23.52540115118653,132,351.56,347.31,4.25,12.77,trailing_stop,44,True
VST,2022-04-20,2022-06-21,24.46903195710113,21.44304847717285,143,-432.72,-436.93,4.21,-12.37,time_stop,62,False
TMDX,2022-08-22,2022-08-24,47.02000045776367,49.119060142517085,70,146.93,142.33,4.6,4.46,trailing_stop,2,True
TMDX,2022-08-24,2022-09-27,53.29999923706055,39.2,72,-1015.2,-1019.15,3.95,-26.45,hard_stop,34,False
TMDX,2023-03-27,2023-04-21,75.73999786376953,80.75499725341797,72,361.08,353.98,7.1,6.62,trailing_stop,25,True
TMDX,2023-04-21,2023-05-02,89.36000061035156,75.96,71,-951.4,-958.05,6.65,-15.0,hard_stop,11,False
TMDX,2023-11-03,2023-11-07,43.02000045776367,57.0,171,2390.58,2379.36,11.22,32.5,trailing_stop,4,True
TMDX,2023-11-07,2023-11-29,60.81999969482422,72.98,105,1276.8,1267.76,9.04,19.99,take_profit_TP1_partial,22,True
TMDX,2023-11-29,2024-01-02,73.5,77.06999969482422,101,360.57,351.41,9.16,4.86,trailing_stop,34,True
TMDX,2024-01-02,2024-01-09,75.87999725341797,78.51000213623047,87,228.81,220.65,8.16,3.47,trailing_stop,7,True
TMDX,2024-01-09,2024-02-26,85.69999694824219,72.84,76,-977.36,-984.16,6.8,-15.01,hard_stop,48,False
TMDX,2024-11-27,2024-12-03,87.47000122070312,73.42,75,-1053.75,-1060.52,6.77,-16.06,hard_stop,6,False
