date,equity,daily_return,drawdown,num_positions
2022-01-03,100000.0,0.0,0.0,4
2022-01-04,100042.62598664427,0.000426,0.0,4
2022-01-05,99827.1962829318,-0.002153,-0.002153,4
2022-01-06,99703.41308982039,-0.00124,-0.003391,4
2022-01-07,99538.35042483473,-0.001656,-0.005041,4
2022-01-10,99197.61745555067,-0.003423,-0.008446,4
2022-01-11,99447.52553088331,0.002519,-0.005948,4
2022-01-12,99675.12771136427,0.002289,-0.003673,4
2022-01-13,99381.43342358732,-0.002947,-0.006609,4
2022-01-14,99417.188016006,0.00036,-0.006252,4
2022-01-18,99375.45428712034,-0.00042,-0.006669,4
2022-01-19,98824.42482192183,-0.005545,-0.012177,4
2022-01-20,98268.78860242033,-0.005622,-0.017731,4
2022-01-21,97920.55234839582,-0.003544,-0.021212,3
2022-01-24,98162.9297440257,0.002475,-0.018789,3
2022-01-25,98210.27984335089,0.000482,-0.018316,3
2022-01-26,97839.53180529737,-0.003775,-0.022022,3
2022-01-27,97817.13640334272,-0.000229,-0.022245,3
2022-01-28,98065.98881590986,0.002544,-0.019758,2
2022-01-31,97917.99799025679,-0.001509,-0.021237,2
2022-02-01,98334.29585326338,0.004251,-0.017076,2
2022-02-02,98482.46645415449,0.001507,-0.015595,2
2022-02-03,98311.87873900557,-0.001732,-0.0173,2
2022-02-04,98425.78022826338,0.001159,-0.016162,2
2022-02-07,98250.09294188643,-0.001785,-0.017918,2
2022-02-08,98381.50526488447,0.001338,-0.016604,3
2022-02-09,98596.21299842023,0.002182,-0.014458,3
2022-02-10,98406.86453917646,-0.00192,-0.016351,3
2022-02-11,98283.87037375593,-0.00125,-0.01758,3
2022-02-14,97773.6910658183,-0.005191,-0.02268,3
2022-02-15,98166.43426421308,0.004017,-0.018754,3
2022-02-16,98421.94654563093,0.002603,-0.0162,3
2022-02-17,98179.79921439313,-0.00246,-0.01862,3
2022-02-18,97692.75503066205,-0.004961,-0.023489,3
2022-02-22,97260.7358579936,-0.004422,-0.027807,3
2022-02-23,97139.17996070051,-0.00125,-0.029022,2
2022-02-24,97678.55271765852,0.005553,-0.023631,2
2022-02-25,97540.49134131575,-0.001413,-0.025011,1
2022-02-28,97758.866829597,0.002239,-0.022828,1
2022-03-01,97547.61243506575,-0.002161,-0.02494,1
2022-03-02,97616.44739600325,0.000706,-0.024251,1
2022-03-03,97559.480110847,-0.000584,-0.024821,1
2022-03-04,97685.282845222,0.001289,-0.023563,0
2022-03-07,97678.68284522199,-6.8e-05,-0.023629,1
2022-03-08,97693.16139180466,0.000148,-0.023485,1
2022-03-09,97704.1768336992,0.000113,-0.023375,1
2022-03-10,97693.16139180466,-0.000113,-0.023485,1
2022-03-11,97666.2358470659,-0.000276,-0.023754,1
2022-03-14,97665.01174123093,-1.3e-05,-0.023766,1
2022-03-15,97653.99680287644,-0.000113,-0.023876,1
2022-03-16,97685.81851918504,0.000326,-0.023558,1
2022-03-17,97651.54859120652,-0.000351,-0.023901,1
2022-03-18,97663.78788716599,0.000125,-0.023778,1
2022-03-21,97640.3553996782,-0.00024,-0.024012,1
2022-03-22,97682.28694112107,0.000429,-0.023593,1
2022-03-23,97609.52389485642,-0.000745,-0.024321,1
2022-03-24,97640.3553996782,0.000316,-0.024012,1
2022-03-25,97725.45114857957,0.000872,-0.023162,1
2022-03-28,97771.08119160935,0.000467,-0.022706,1
2022-03-29,97776.01462514207,5e-05,-0.022656,1
2022-03-30,97769.8482738237,-6.3e-05,-0.022718,1
2022-03-31,97788.34707600877,0.000189,-0.022533,1
2022-04-01,97811.77931172654,0.00024,-0.022299,1
2022-04-04,97798.21369130418,-0.000139,-0.022435,1
2022-04-05,97829.04469258591,0.000315,-0.022126,1
2022-04-06,97880.84209401414,0.000529,-0.021609,1
2022-04-07,97895.64113576218,0.000151,-0.021461,1
2022-04-08,97943.73802144334,0.000491,-0.02098,1
2022-04-11,97880.84209401414,-0.000642,-0.021609,1
2022-04-12,97887.00794179246,6.3e-05,-0.021547,1
2022-04-13,97856.17643697068,-0.000315,-0.021855,1
2022-04-14,97884.54160268113,0.00029,-0.021572,1
2022-04-18,97984.43614156052,0.001021,-0.020573,1
2022-04-19,97981.96904713914,-2.5e-05,-0.020598,1
2022-04-20,98022.11680652984,0.00041,-0.020196,1
2022-04-21,97957.3352011877,-0.000661,-0.020844,1
2022-04-22,97905.22969619808,-0.000532,-0.021365,1
2022-04-25,97859.80467788753,-0.000464,-0.021819,1
2022-04-26,97845.10804359493,-0.00015,-0.021966,1
2022-04-27,97842.43617622432,-2.7e-05,-0.021993,1
2022-04-28,97875.83724586543,0.000341,-0.021659,1
2022-04-29,97861.14115707454,-0.00015,-0.021806,1
2022-05-02,97817.0520724493,-0.000451,-0.022246,1
2022-05-03,97891.86954109248,0.000765,-0.021498,1
2022-05-04,97981.38391677913,0.000914,-0.020604,1
2022-05-05,97913.2458438116,-0.000695,-0.021285,1
2022-05-06,98074.90582077083,0.001651,-0.019669,1
2022-05-09,97742.23378555354,-0.003392,-0.022994,1
2022-05-10,97783.65100280818,0.000424,-0.02258,1
2022-05-11,97763.61117927608,-0.000205,-0.02278,1
2022-05-12,97646.03892318782,-0.001203,-0.023956,1
2022-05-13,97802.35571090755,0.001601,-0.022393,1
2022-05-16,97858.46901695308,0.000574,-0.021832,1
2022-05-17,97891.86954109248,0.000341,-0.021498,1
2022-05-18,97889.19740097102,-2.7e-05,-0.021525,1
2022-05-19,98002.7604922491,0.00116,-0.02039,1
2022-05-20,97889.19740097102,-0.001159,-0.021525,1
2022-05-23,97955.99899475154,0.000682,-0.020857,1
2022-05-24,97922.59765235957,-0.000341,-0.021191,1
2022-05-25,98005.43208686885,0.000846,-0.020363,1
2022-05-26,97982.71985046443,-0.000232,-0.02059,1
2022-05-27,98033.48860351619,0.000518,-0.020083,1
2022-05-31,98041.50529663143,8.2e-05,-0.020003,1
2022-06-01,97978.71177665767,-0.00064,-0.02063,1
2022-06-02,97989.3997916418,0.000109,-0.020524,1
2022-06-03,97972.0312899786,-0.000177,-0.020697,1
2022-06-06,98057.53759185848,0.000873,-0.019842,1
2022-06-07,98177.78116981563,0.001226,-0.018641,1
2022-06-08,98104.29936210689,-0.000748,-0.019375,1
2022-06-09,98018.7925147253,-0.000872,-0.02023,1
2022-06-10,97917.25473587093,-0.001036,-0.021245,1
2022-06-13,97658.06369010982,-0.002647,-0.023835,1
2022-06-14,97585.91754333553,-0.000739,-0.024557,1
2022-06-15,97658.06369010982,0.000739,-0.023835,1
2022-06-16,97527.13236991939,-0.001341,-0.025144,1
2022-06-17,97513.77248756465,-0.000137,-0.025278,1
2022-06-21,97584.7411689001,0.000728,-0.024568,0
2022-06-22,97580.5311689001,-4.3e-05,-0.02461,0
2022-06-23,97580.5311689001,0.0,-0.02461,0
2022-06-24,97580.5311689001,0.0,-0.02461,0
2022-06-27,97580.5311689001,0.0,-0.02461,0
2022-06-28,97580.5311689001,0.0,-0.02461,0
2022-06-29,97580.5311689001,0.0,-0.02461,0
2022-06-30,97580.5311689001,0.0,-0.02461,0
2022-07-01,97580.5311689001,0.0,-0.02461,0
2022-07-05,97580.5311689001,0.0,-0.02461,0
2022-07-06,97580.5311689001,0.0,-0.02461,0
2022-07-07,97580.5311689001,0.0,-0.02461,0
2022-07-08,97580.5311689001,0.0,-0.02461,0
2022-07-11,97580.5311689001,0.0,-0.02461,0
2022-07-12,97580.5311689001,0.0,-0.02461,0
2022-07-13,97580.5311689001,0.0,-0.02461,0
2022-07-14,97580.5311689001,0.0,-0.02461,0
2022-07-15,97580.5311689001,0.0,-0.02461,0
2022-07-18,97580.5311689001,0.0,-0.02461,0
2022-07-19,97580.5311689001,0.0,-0.02461,0
2022-07-20,97580.5311689001,0.0,-0.02461,0
2022-07-21,97580.5311689001,0.0,-0.02461,0
2022-07-22,97580.5311689001,0.0,-0.02461,0
2022-07-25,97580.5311689001,0.0,-0.02461,0
2022-07-26,97580.5311689001,0.0,-0.02461,0
2022-07-27,97580.5311689001,0.0,-0.02461,0
2022-07-28,97580.5311689001,0.0,-0.02461,0
2022-07-29,97580.5311689001,0.0,-0.02461,0
2022-08-01,97580.5311689001,0.0,-0.02461,0
2022-08-02,97580.5311689001,0.0,-0.02461,0
2022-08-03,97580.5311689001,0.0,-0.02461,0
2022-08-04,97580.5311689001,0.0,-0.02461,0
2022-08-05,97580.5311689001,0.0,-0.02461,0
2022-08-08,97580.5311689001,0.0,-0.02461,0
2022-08-09,97580.5311689001,0.0,-0.02461,0
2022-08-10,97580.5311689001,0.0,-0.02461,0
2022-08-11,97580.5311689001,0.0,-0.02461,0
2022-08-12,97580.5311689001,0.0,-0.02461,0
2022-08-15,97580.5311689001,0.0,-0.02461,0
2022-08-16,97580.5311689001,0.0,-0.02461,0
2022-08-17,97580.5311689001,0.0,-0.02461,0
2022-08-18,97580.5311689001,0.0,-0.02461,0
2022-08-19,97580.5311689001,0.0,-0.02461,0
2022-08-22,97580.5311689001,0.0,-0.02461,1
2022-08-23,97765.78110481318,0.001898,-0.022759,1
2022-08-24,97718.41534683284,-0.000484,-0.023232,1
2022-08-25,97706.91533584651,-0.000118,-0.023347,1
2022-08-26,97639.23543472347,-0.000693,-0.024024,1
2022-08-29,97708.3553688055,0.000708,-0.023333,1
2022-08-30,97578.75542373714,-0.001326,-0.024628,1
2022-08-31,97621.95531387386,0.000443,-0.024196,1
2022-09-01,97613.31539077815,-8.9e-05,-0.024283,1
2022-09-02,97601.79540176448,-0.000118,-0.024398,1
2022-09-06,97547.79540176448,-0.000553,-0.024938,1
2022-09-07,97781.07552261409,0.002391,-0.022606,1
2022-09-08,97795.47530288753,0.000147,-0.022462,1
2022-09-09,97719.87535781917,-0.000773,-0.023218,1
2022-09-12,97889.79540176448,0.001739,-0.021519,1
2022-09-13,97668.75542373714,-0.002258,-0.023729,1
2022-09-14,97647.87535781917,-0.000214,-0.023937,1
2022-09-15,97651.47530288753,3.7e-05,-0.023901,1
2022-09-16,97474.3553688055,-0.001814,-0.025672,1
2022-09-19,97508.19545669612,0.000347,-0.025334,1
2022-09-20,97299.39534683284,-0.002141,-0.027421,1
2022-09-21,97184.91533584651,-0.001177,-0.028565,1
2022-09-22,96958.83537979182,-0.002326,-0.030825,1
2022-09-23,96876.75542373714,-0.000847,-0.031645,1
2022-09-26,96743.55553360042,-0.001375,-0.032977,1
2022-09-27,96694.24540176448,-0.00051,-0.03347,0
2022-09-28,96694.24540176448,0.0,-0.03347,0
2022-09-29,96694.24540176448,0.0,-0.03347,0
2022-09-30,96694.24540176448,0.0,-0.03347,0
2022-10-03,96694.24540176448,0.0,-0.03347,0
2022-10-04,96694.24540176448,0.0,-0.03347,0
2022-10-05,96694.24540176448,0.0,-0.03347,0
2022-10-06,96694.24540176448,0.0,-0.03347,0
2022-10-07,96694.24540176448,0.0,-0.03347,0
2022-10-10,96694.24540176448,0.0,-0.03347,0
2022-10-11,96694.24540176448,0.0,-0.03347,0
2022-10-12,96694.24540176448,0.0,-0.03347,0
2022-10-13,96694.24540176448,0.0,-0.03347,0
2022-10-14,96694.24540176448,0.0,-0.03347,0
2022-10-17,96694.24540176448,0.0,-0.03347,0
2022-10-18,96694.24540176448,0.0,-0.03347,0
2022-10-19,96694.24540176448,0.0,-0.03347,0
2022-10-20,96694.24540176448,0.0,-0.03347,0
2022-10-21,96694.24540176448,0.0,-0.03347,0
2022-10-24,96694.24540176448,0.0,-0.03347,0
2022-10-25,96694.24540176448,0.0,-0.03347,0
2022-10-26,96694.24540176448,0.0,-0.03347,0
2022-10-27,96694.24540176448,0.0,-0.03347,0
2022-10-28,96694.24540176448,0.0,-0.03347,0
2022-10-31,96694.24540176448,0.0,-0.03347,0
2022-11-01,96694.24540176448,0.0,-0.03347,0
2022-11-02,96694.24540176448,0.0,-0.03347,0
2022-11-03,96694.24540176448,0.0,-0.03347,0
2022-11-04,96694.24540176448,0.0,-0.03347,0
2022-11-07,96694.24540176448,0.0,-0.03347,0
2022-11-08,96694.24540176448,0.0,-0.03347,0
2022-11-09,96694.24540176448,0.0,-0.03347,0
2022-11-10,96694.24540176448,0.0,-0.03347,0
2022-11-11,96694.24540176448,0.0,-0.03347,0
2022-11-14,96694.24540176448,0.0,-0.03347,0
2022-11-15,96694.24540176448,0.0,-0.03347,0
2022-11-16,96694.24540176448,0.0,-0.03347,0
2022-11-17,96694.24540176448,0.0,-0.03347,0
2022-11-18,96694.24540176448,0.0,-0.03347,0
2022-11-21,96694.24540176448,0.0,-0.03347,0
2022-11-22,96694.24540176448,0.0,-0.03347,0
2022-11-23,96694.24540176448,0.0,-0.03347,0
2022-11-25,96694.24540176448,0.0,-0.03347,0
2022-11-28,96694.24540176448,0.0,-0.03347,0
2022-11-29,96694.24540176448,0.0,-0.03347,0
2022-11-30,96694.24540176448,0.0,-0.03347,0
2022-12-01,96694.24540176448,0.0,-0.03347,0
2022-12-02,96694.24540176448,0.0,-0.03347,0
2022-12-05,96694.24540176448,0.0,-0.03347,0
2022-12-06,96694.24540176448,0.0,-0.03347,0
2022-12-07,96694.24540176448,0.0,-0.03347,0
2022-12-08,96694.24540176448,0.0,-0.03347,0
2022-12-09,96694.24540176448,0.0,-0.03347,0
2022-12-12,96694.24540176448,0.0,-0.03347,0
2022-12-13,96694.24540176448,0.0,-0.03347,0
2022-12-14,96694.24540176448,0.0,-0.03347,0
2022-12-15,96694.24540176448,0.0,-0.03347,0
2022-12-16,96694.24540176448,0.0,-0.03347,0
2022-12-19,96694.24540176448,0.0,-0.03347,0
2022-12-20,96694.24540176448,0.0,-0.03347,0
2022-12-21,96694.24540176448,0.0,-0.03347,0
2022-12-22,96694.24540176448,0.0,-0.03347,0
2022-12-23,96694.24540176448,0.0,-0.03347,0
2022-12-27,96694.24540176448,0.0,-0.03347,0
2022-12-28,96694.24540176448,0.0,-0.03347,0
2022-12-29,96694.24540176448,0.0,-0.03347,0
2022-12-30,96694.24540176448,0.0,-0.03347,0
2023-01-03,96694.24540176448,0.0,-0.03347,0
2023-01-04,96694.24540176448,0.0,-0.03347,0
2023-01-05,96694.24540176448,0.0,-0.03347,0
2023-01-06,96694.24540176448,0.0,-0.03347,0
2023-01-09,96694.24540176448,0.0,-0.03347,0
2023-01-10,96694.24540176448,0.0,-0.03347,0
2023-01-11,96694.24540176448,0.0,-0.03347,0
2023-01-12,96694.24540176448,0.0,-0.03347,0
2023-01-13,96694.24540176448,0.0,-0.03347,0
2023-01-17,96694.24540176448,0.0,-0.03347,0
2023-01-18,96694.24540176448,0.0,-0.03347,0
2023-01-19,96694.24540176448,0.0,-0.03347,0
2023-01-20,96694.24540176448,0.0,-0.03347,0
2023-01-23,96694.24540176448,0.0,-0.03347,0
2023-01-24,96694.24540176448,0.0,-0.03347,0
2023-01-25,96694.24540176448,0.0,-0.03347,0
2023-01-26,96694.24540176448,0.0,-0.03347,0
2023-01-27,96694.24540176448,0.0,-0.03347,0
2023-01-30,96694.24540176448,0.0,-0.03347,0
2023-01-31,96694.24540176448,0.0,-0.03347,0
2023-02-01,96694.24540176448,0.0,-0.03347,0
2023-02-02,96694.24540176448,0.0,-0.03347,0
2023-02-03,96694.24540176448,0.0,-0.03347,0
2023-02-06,96694.24540176448,0.0,-0.03347,0
2023-02-07,96694.24540176448,0.0,-0.03347,0
2023-02-08,96694.24540176448,0.0,-0.03347,0
2023-02-09,96694.24540176448,0.0,-0.03347,0
2023-02-10,96694.24540176448,0.0,-0.03347,0
2023-02-13,96694.24540176448,0.0,-0.03347,0
2023-02-14,96694.24540176448,0.0,-0.03347,0
2023-02-15,96694.24540176448,0.0,-0.03347,0
2023-02-16,96694.24540176448,0.0,-0.03347,0
2023-02-17,96694.24540176448,0.0,-0.03347,0
2023-02-21,96694.24540176448,0.0,-0.03347,0
2023-02-22,96694.24540176448,0.0,-0.03347,0
2023-02-23,96694.24540176448,0.0,-0.03347,0
2023-02-24,96694.24540176448,0.0,-0.03347,0
2023-02-27,96694.24540176448,0.0,-0.03347,0
2023-02-28,96694.24540176448,0.0,-0.03347,0
2023-03-01,96694.24540176448,0.0,-0.03347,0
2023-03-02,96694.24540176448,0.0,-0.03347,0
2023-03-03,96694.24540176448,0.0,-0.03347,0
2023-03-06,96694.24540176448,0.0,-0.03347,0
2023-03-07,96694.24540176448,0.0,-0.03347,0
