date,equity,daily_return,drawdown,num_positions
2022-01-03,100000.0,0.0,0.0,1
2022-01-04,100102.91042935551,0.001029,0.0,1
2022-01-05,100322.49160611333,0.002194,0.0,1
2022-01-06,100150.60574185551,-0.001713,-0.001713,1
2022-01-07,99994.02017056645,-0.001564,-0.003274,1
2022-01-10,99839.23306119145,-0.001548,-0.004817,1
2022-01-11,99873.4298385352,0.000343,-0.004476,1
2022-01-12,100110.11013638676,0.00237,-0.002117,1
2022-01-13,100039.91555630864,-0.000701,-0.002817,1
2022-01-14,99985.01980435551,-0.000549,-0.003364,1
2022-01-18,99777.13943326176,-0.002079,-0.005436,1
2022-01-19,99692.54690396489,-0.000848,-0.006279,1
2022-01-20,99512.56155240239,-0.001805,-0.008073,1
2022-01-21,99146.0644088477,-0.003683,-0.011726,0
2022-01-24,99146.0644088477,0.0,-0.011726,0
2022-01-25,99146.0644088477,0.0,-0.011726,0
2022-01-26,99146.0644088477,0.0,-0.011726,0
2022-01-27,99146.0644088477,0.0,-0.011726,0
2022-01-28,99146.0644088477,0.0,-0.011726,0
2022-01-31,99146.0644088477,0.0,-0.011726,0
2022-02-01,99146.0644088477,0.0,-0.011726,0
2022-02-02,99146.0644088477,0.0,-0.011726,0
2022-02-03,99146.0644088477,0.0,-0.011726,0
2022-02-04,99146.0644088477,0.0,-0.011726,0
2022-02-07,99146.0644088477,0.0,-0.011726,0
2022-02-08,99146.0644088477,0.0,-0.011726,1
2022-02-09,99325.38460175694,0.001809,-0.009939,1
2022-02-10,99173.6744682044,-0.001527,-0.011451,1
2022-02-11,98870.2545720786,-0.003059,-0.014476,1
2022-02-14,98815.79443852605,-0.000551,-0.015019,1
2022-02-15,99103.65434949101,0.002913,-0.012149,1
2022-02-16,99197.01463143529,0.000942,-0.011219,1
2022-02-17,98862.47439400853,-0.003372,-0.014553,1
2022-02-18,98621.29443852605,-0.00244,-0.016957,1
2022-02-22,98197.28437916936,-0.004299,-0.021184,1
2022-02-23,98117.03448304356,-0.000817,-0.021984,0
2022-02-24,98117.03448304356,0.0,-0.021984,0
